Handle,Title,Category,Option1 Value,Option2 Value,product number,Variant Inventory Qty,Product price
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17,Jelly Case,KD51785,200,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17,Bumper Case,KD51786,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17,Bumper Case (MagSafe),KD51787,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17 Air,Jelly Case,KD51788,0,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17 Air,Bumper Case,KD51789,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17 Air,Bumper Case (MagSafe),KD51790,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17 Pro,Jelly Case,KD51791,0,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17 Pro,Bumper Case,KD51792,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17 Pro,Bumper Case (MagSafe),KD51793,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17 Pro Max,Jelly Case,KD51794,0,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17 Pro Max,Bumper Case,KD51795,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 17 Pro Max,Bumper Case (MagSafe),KD51796,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16,Jelly Case,KD51797,200,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16,Bumper Case,KD51798,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16,Bumper Case (MagSafe),KD51799,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16 Pro,Jelly Case,KD51800,200,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16 Pro,Bumper Case,KD51801,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16 Pro,Bumper Case (MagSafe),KD51802,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16 Plus,Jelly Case,KD51803,200,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16 Plus,Bumper Case,KD51804,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16 Plus,Bumper Case (MagSafe),KD51805,199,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16 Pro Max,Jelly Case,KD51806,200,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16 Pro Max,Bumper Case,KD51807,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 16 Pro Max,Bumper Case (MagSafe),KD51808,200,19.99
